gene,inMod
evm.TU.chromosome_1.1845,1
evm.TU.chromosome_1.1849,1
evm.TU.chromosome_1.185,1
evm.TU.chromosome_1.1850,1
evm.TU.chromosome_1.1851,0
evm.TU.chromosome_1.1852,0
evm.TU.chromosome_1.1853,0
evm.TU.chromosome_1.1854,1
evm.TU.chromosome_1.1855,1
evm.TU.chromosome_1.1856,0
evm.TU.chromosome_1.1857,0
evm.TU.chromosome_1.1858,1
evm.TU.chromosome_1.1859,1
evm.TU.chromosome_1.186,1
evm.TU.chromosome_1.1860,0
evm.TU.chromosome_1.1861,1
evm.TU.chromosome_1.1862,1
evm.TU.chromosome_1.1863,1
evm.TU.chromosome_1.1864,0
evm.TU.chromosome_1.1865,1
evm.TU.chromosome_1.1866,1
evm.TU.chromosome_1.1867,0
evm.TU.chromosome_1.187,0
evm.TU.chromosome_1.1870,1
evm.TU.chromosome_1.1873,1
evm.TU.chromosome_1.1874,1
evm.TU.chromosome_1.1875,1
evm.TU.chromosome_1.1876,1
evm.TU.chromosome_1.1877,1
evm.TU.chromosome_1.1878,1
evm.TU.chromosome_1.1879,1
evm.TU.chromosome_1.188,1
evm.TU.chromosome_1.1880,0
evm.TU.chromosome_1.1881,1
evm.TU.chromosome_1.1882,0
evm.TU.chromosome_1.1884,1
evm.TU.chromosome_1.1885,1
evm.TU.chromosome_1.1887,0
evm.TU.chromosome_1.1888,0
evm.TU.chromosome_1.1889,1
evm.TU.chromosome_1.189,0
evm.TU.chromosome_1.1890,1
evm.TU.chromosome_1.1891,0
evm.TU.chromosome_1.1892,1
evm.TU.chromosome_1.1893,1
evm.TU.chromosome_1.1894,1
evm.TU.chromosome_1.1895,0
evm.TU.chromosome_1.1896_evm.TU.chromosome_1.1897,1
evm.TU.chromosome_1.1898,1
evm.TU.chromosome_1.1899,1
evm.TU.chromosome_1.19,0
evm.TU.chromosome_1.190,0
evm.TU.chromosome_1.1900,1
evm.TU.chromosome_1.1901,1
evm.TU.chromosome_1.1902,1
evm.TU.chromosome_1.1903,1
evm.TU.chromosome_1.1904,0
evm.TU.chromosome_1.1905,1
evm.TU.chromosome_1.1906,0
evm.TU.chromosome_1.1907,0
evm.TU.chromosome_1.1908,1
evm.TU.chromosome_1.1909,0
evm.TU.chromosome_1.191,1
evm.TU.chromosome_1.1910,1
evm.TU.chromosome_1.192,0
evm.TU.chromosome_1.193,0
evm.TU.chromosome_1.194,1
evm.TU.chromosome_1.195,1
evm.TU.chromosome_1.197,1
evm.TU.chromosome_1.198,1
evm.TU.chromosome_1.199,1
evm.TU.chromosome_1.2,0
evm.TU.chromosome_1.20,1
evm.TU.chromosome_1.200,0
evm.TU.chromosome_1.201,0
evm.TU.chromosome_1.202,1
evm.TU.chromosome_1.203,0
evm.TU.chromosome_1.204,1
evm.TU.chromosome_1.205,1
evm.TU.chromosome_1.206,1
evm.TU.chromosome_1.207,1
evm.TU.chromosome_1.208,1
